"PC1","PC2","Date","Coin"
-1.46337095861241,-0.183013957356336,2020-05-12,"ETH"
-1.4312213038776,-0.287431509569696,2020-05-13,"ETH"
-1.33862644211333,-0.561779587206824,2020-05-14,"ETH"
-1.42849237722639,-0.240702446277946,2020-05-15,"ETH"
-1.47216419528571,-0.135885445163767,2020-05-16,"ETH"
-1.45724704904338,-0.140158738901401,2020-05-17,"ETH"
-1.40866190918922,-0.316534199504574,2020-05-18,"ETH"
-1.50168411545284,-0.0457251289289526,2020-05-19,"ETH"
-1.53500015601679,0.103427774014432,2020-05-20,"ETH"
-1.53461747034864,0.0471687207933454,2020-05-21,"ETH"
-1.56486500319346,0.161191781815801,2020-05-22,"ETH"
-1.59800964691937,0.285778147576318,2020-05-23,"ETH"
-1.56062872945515,0.184256902187752,2020-05-24,"ETH"
-1.60730969107517,0.307679072771521,2020-05-25,"ETH"
-1.621950794409,0.328055255250799,2020-05-26,"ETH"
-1.59333779617396,0.2909796897766,2020-05-27,"ETH"
-1.55269792365529,0.147050357673378,2020-05-28,"ETH"
-1.5483880176089,0.143266696215654,2020-05-29,"ETH"
-1.45855310605116,-0.101165920848812,2020-05-30,"ETH"
-1.5318577494174,0.151283522798002,2020-05-31,"ETH"
-1.48486022719042,-0.0044094645346551,2020-06-01,"ETH"
-1.49320590258526,0.0106774451512939,2020-06-02,"ETH"
-1.5855482965506,0.366050665908662,2020-06-03,"ETH"
-1.57287986306595,0.340013818709836,2020-06-04,"ETH"
-1.60942793277588,0.414015235623578,2020-06-05,"ETH"
-1.63655501838878,0.521341629457823,2020-06-06,"ETH"
-1.58991913513607,0.395884940971358,2020-06-07,"ETH"
-1.63554834251644,0.524923648931804,2020-06-08,"ETH"
-1.63790694052702,0.487277728033407,2020-06-09,"ETH"
-1.63052052933946,0.455162660127385,2020-06-10,"ETH"
-1.53903632954492,0.136288460726947,2020-06-11,"ETH"
-1.63289636757961,0.448006632528143,2020-06-12,"ETH"
-1.67316246802779,0.604948388880717,2020-06-13,"ETH"
-1.66729683150969,0.578113608674409,2020-06-14,"ETH"
-1.58467960295956,0.30092777768507,2020-06-15,"ETH"
-1.64041126513712,0.535783505644462,2020-06-16,"ETH"
-1.65986376161362,0.554925290212246,2020-06-17,"ETH"
-1.68858270873068,0.642725400618854,2020-06-18,"ETH"
-1.67661132116763,0.62474222397761,2020-06-19,"ETH"
-1.68739234266045,0.689607903733343,2020-06-20,"ETH"
-1.70793767289512,0.74696174450809,2020-06-21,"ETH"
-1.61501425315433,0.433126446057509,2020-06-22,"ETH"
-1.67459359984377,0.655381239077653,2020-06-23,"ETH"
-1.61469726829047,0.460585574535316,2020-06-24,"ETH"
-1.65558454757617,0.625608665938399,2020-06-25,"ETH"
-1.64915615659108,0.610797823524753,2020-06-26,"ETH"
-1.66512148748588,0.632490245332393,2020-06-27,"ETH"
-1.69548049139598,0.691739532330645,2020-06-28,"ETH"
-1.6664882285848,0.65046962847532,2020-06-29,"ETH"
-1.69328308046296,0.703613241048063,2020-06-30,"ETH"
-1.68576094450724,0.668915144036562,2020-07-01,"ETH"
-1.68805949691094,0.693390517812458,2020-07-02,"ETH"
-1.71548217840983,0.793659216873171,2020-07-03,"ETH"
-1.7040345854226,0.785618645805239,2020-07-04,"ETH"
-1.70898993505502,0.777523873931367,2020-07-05,"ETH"
