"PC1","PC2","Date","Coin"
-0.952992677410206,1.98551698488053,2020-01-01,"BTC"
-0.820773827692399,1.88507129828034,2020-01-02,"BTC"
-0.902781519283644,1.65888714621277,2020-01-03,"BTC"
-0.682873449934135,1.90364992871598,2020-01-04,"BTC"
-0.66536224898635,1.85968638842315,2020-01-05,"BTC"
-0.705978903379636,1.74050327486174,2020-01-06,"BTC"
-0.769019417524457,1.56449062614128,2020-01-07,"BTC"
-0.806310936608711,1.48742335976486,2020-01-08,"BTC"
-0.646505629096735,1.6968266540932,2020-01-09,"BTC"
-0.72419214743761,1.55536041633522,2020-01-10,"BTC"
-0.670803714986638,1.64857037405595,2020-01-11,"BTC"
-0.635880423797994,1.71358983413198,2020-01-12,"BTC"
-0.639862049789701,1.7300919668164,2020-01-13,"BTC"
-1.07326357006525,1.10267598338938,2020-01-14,"BTC"
-0.929350155155639,1.20341299738382,2020-01-15,"BTC"
-0.76794945611421,1.44245900282179,2020-01-16,"BTC"
-0.855692973535472,1.29552763650674,2020-01-17,"BTC"
-0.77979996769032,1.40214235664255,2020-01-18,"BTC"
-0.795619161199275,1.35974457315677,2020-01-19,"BTC"
-0.636288293419982,1.56662033674184,2020-01-20,"BTC"
-0.593363427835631,1.62410025718596,2020-01-21,"BTC"
-0.571873620584838,1.66887426026611,2020-01-22,"BTC"
-0.624159199085493,1.59697394245782,2020-01-23,"BTC"
-0.594700774050232,1.63062046792691,2020-01-24,"BTC"
-0.488001878041316,1.75690678434264,2020-01-25,"BTC"
-0.540150482298835,1.67882864596511,2020-01-26,"BTC"
-0.656170839878526,1.48918430482353,2020-01-27,"BTC"
-0.738031612412175,1.3007374854865,2020-01-28,"BTC"
-0.643221373926517,1.39218852502761,2020-01-29,"BTC"
-0.674515084705568,1.33697183769659,2020-01-30,"BTC"
-0.628112897280266,1.4256842160545,2020-01-31,"BTC"
-0.559331510406897,1.51621430577565,2020-02-01,"BTC"
-0.647226666933152,1.38694673923713,2020-02-02,"BTC"
-0.639453257801132,1.38467938993278,2020-02-03,"BTC"
-0.625395527838008,1.41949973085745,2020-02-04,"BTC"
-0.728209323817164,1.25598115315485,2020-02-05,"BTC"
-0.783976106716888,1.18842128866791,2020-02-06,"BTC"
-0.717799983600407,1.2657985177063,2020-02-07,"BTC"
-0.737803463069329,1.24679246037598,2020-02-08,"BTC"
-0.772936633330248,1.22235868296568,2020-02-09,"BTC"
-0.873812510907829,1.14855170252065,2020-02-10,"BTC"
